[find-bench] scenario region spec=/Users/josh/play/SikuliX1/packages/api/internal/grpcv1/testdata/find-bench-assets/regions.json mapped=40/40
goos: darwin
goarch: arm64
pkg: github.com/smysnk/sikuligo/internal/grpcv1
cpu: Apple M4 Pro
BenchmarkFindOnScreenE2E/engine=orb/noise_stress_random_800x600_i04_rotate_s2892b109-14                     	       5	  45049758 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         2.000 query_not_found/op	         0 query_ok/op	         1.000 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 2980500 B/op	    1535 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/scale_rotate_sweep_800x600_i05_scale_sa6bdffc2-14                       	       8	  26904214 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         2.000 query_not_found/op	         1.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 2835181 B/op	    1294 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/perspective_skew_sweep_800x600_i06_perspective_sad7d499c-14             	       5	  44091008 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 3464144 B/op	    1698 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/orb_feature_rich_800x600_i07_rotate_s1f72975c-14                        	      10	  21164196 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 3295233 B/op	    1272 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/template_control_exact_800x600_i08_sb012a65c-14                         	      13	  17222779 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 3413706 B/op	    1302 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/hybrid_gate_conflicts_800x600_i09_perspective_sff95719b-14              	       9	  24264509 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 3340612 B/op	    1271 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/multi_monitor_dpi_shift_800x600_i10_scale_s402af2c7-14                  	      13	  17768423 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 3566413 B/op	    1313 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/vector_ui_baseline_1024x768_i01_scale_s95e0b3e9-14                      	       9	  24437194 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         1.000 query_not_found/op	         2.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 4060744 B/op	    1244 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/photo_clutter_1024x768_i02_rotate_s7255b3b4-14                          	       2	 133762292 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 5660732 B/op	    2569 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/repetitive_grid_camouflage_1024x768_i03_rotate_sd295a7e0-14             	       5	  45839358 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 5335252 B/op	    1436 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/noise_stress_random_1024x768_i04_rotate_sbd3fe305-14                    	       3	  69751875 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         2.000 query_not_found/op	         1.000 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 4778797 B/op	    1939 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/scale_rotate_sweep_1024x768_i05_scale_sb0636d98-14                      	       5	  41363808 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         2.000 query_not_found/op	         0 query_ok/op	         1.000 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 4528147 B/op	    1577 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/perspective_skew_sweep_1024x768_i06_perspective_s357244d6-14            	       3	  67411431 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 5563957 B/op	    2473 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/orb_feature_rich_1024x768_i07_rotate_s4c6e7916-14                       	       7	  31581994 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 5236630 B/op	    1282 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/template_control_exact_1024x768_i08_s0c67f616-14                        	       8	  25096115 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 5576416 B/op	    1328 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/hybrid_gate_conflicts_1024x768_i09_perspective_se6bf4a73-14             	       6	  36267965 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 5306776 B/op	    1314 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/multi_monitor_dpi_shift_1024x768_i10_scale_sb183cb77-14                 	       9	  22276843 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         2.000 query_not_found/op	         0 query_ok/op	         1.000 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 5219888 B/op	    1172 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/vector_ui_baseline_1280x720_i01_rotate_s8a4f44bd-14                     	       8	  26342307 ns/op	         0 error/op	         0 not_found/op	         1.000 overlap_miss/op	         0 query_error/op	         1.000 query_not_found/op	         1.000 query_ok/op	         1.000 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 4203075 B/op	    1171 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/photo_clutter_1280x720_i02_scale_sed122c1c-14                           	       2	 136591000 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 6653068 B/op	    2869 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/repetitive_grid_camouflage_1280x720_i03_rotate_s9825f8a8-14             	       4	  55274854 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         3.000 query_not_found/op	         0 query_ok/op	         0 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 6133162 B/op	    1388 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/noise_stress_random_1280x720_i04_rotate_sc37a59d9-14                    	       3	  73739695 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         2.000 query_not_found/op	         0 query_ok/op	         1.000 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 5408805 B/op	    1850 allocs/op
BenchmarkFindOnScreenE2E/engine=orb/scale_rotate_sweep_1280x720_i05_scale_s8ff2d3c0-14                      	       5	  45238083 ns/op	         0 error/op	         1.000 not_found/op	         0 overlap_miss/op	         0 query_error/op	         2.000 query_not_found/op	         0 query_ok/op	         1.000 query_overlap_miss/op	         3.000 query_total/op	         0 query_unsupported/op	         0 success/op	         0 unsupported/op	 5169865 B/op	    1503 allocs/op
